#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover

1,2023/11/29,511.90,-0.99,520.00,508.90,517.00,"46,655","23,909,578.80"
2,2023/11/28,517.00,-1.71,529.80,515.50,529.80,"32,419","16,836,839.70"
3,2023/11/27,526.00,-1.39,540.00,522.00,540.00,"35,690","18,860,924.70"
4,2023/11/26,533.40,3.57,533.40,499.00,510.00,"143,911","73,712,280.60"
5,2023/11/23,515.00,-8.2,549.90,505.10,549.90,"254,979","131,076,105.80"
6,2023/11/22,561.00,0,563.00,558.00,563.00,"38,556","21,615,521.40"
7,2023/11/21,561.00,-0.71,575.00,560.00,566.00,"33,672","18,985,793.70"
8,2023/11/20,565.00,-0.74,572.50,562.00,572.00,"37,308","21,140,991.40"
9,2023/11/09,569.20,-0.4,571.50,569.00,571.50,"25,721","14,653,022.20"
10,2023/11/08,571.50,0.28,575.00,568.00,571.00,"28,864","16,464,832.40"
11,2023/11/07,569.90,0.33,577.80,567.00,577.80,"32,456","18,470,133.10"
12,2023/11/06,568.00,0.35,577.00,567.00,570.00,"29,139","16,603,603.50"
13,2023/11/05,566.00,-1.2,573.00,564.00,572.00,"50,715","28,752,025.40"
14,2023/11/02,572.90,-0.81,582.00,572.00,582.00,"36,808","21,127,137.60"
15,2023/11/01,577.60,-0.07,580.00,575.00,575.00,"18,731","10,825,934.30"
16,2023/10/31,578.00,-0.34,585.00,575.00,579.00,"25,726","14,873,435.30"
17,2023/10/30,580.00,-0.17,580.00,572.00,575.00,"39,951","23,019,064.20"
18,2023/10/29,581.00,-1.53,590.40,579.20,590.00,"37,365","21,737,652.60"
19,2023/10/19,590.00,0.08,596.50,586.00,596.50,"66,181","39,090,480.60"
20,2023/10/18,589.50,3.04,589.90,573.00,583.00,"27,895","16,287,197.70"
21,2023/10/17,572.10,0.72,580.00,570.00,579.00,"37,883","21,706,060.60"
22,2023/10/16,568.00,0.19,578.00,566.50,578.00,"30,777","17,493,800.70"
23,2023/10/12,566.90,-0.02,570.00,560.50,570.00,"50,839","28,714,621.30"
24,2023/10/11,567.00,-0.35,570.90,566.50,570.00,"58,358","33,179,846.20"
25,2023/10/10,569.00,-0.49,575.00,568.00,572.00,"60,468","34,434,414.90"
26,2023/10/09,571.80,-0.56,580.00,571.00,579.00,"61,332","35,145,369.40"
27,2023/10/08,575.00,-1.15,593.30,574.50,593.30,"92,585","53,442,373.90"
28,2023/10/05,581.70,-0.36,584.60,580.00,580.20,"54,791","31,828,814.60"
29,2023/10/04,583.80,-0.03,586.80,580.50,586.80,"47,450","27,683,428.30"
30,2023/10/03,584.00,0.17,589.00,582.10,585.00,"47,601","27,852,069.20"
31,2023/10/02,583.00,-0.34,588.40,579.50,583.00,"44,667","26,055,975.90"
32,2023/10/01,585.00,-1.1,591.50,584.00,590.00,"37,802","22,150,202.80"
33,2023/09/27,591.50,-0.42,604.00,590.00,600.00,"30,539","18,094,488.40"
34,2023/09/26,594.00,-0.17,603.00,592.00,603.00,"23,327","13,863,486.10"
35,2023/09/25,595.00,0.51,598.90,588.00,591.10,"50,135","29,796,596.40"
36,2023/09/24,592.00,-0.17,598.00,586.80,593.00,"51,424","30,396,145.50"
37,2023/09/21,593.00,0.68,603.00,591.00,591.00,"38,690","23,034,240.60"
38,2023/09/19,589.00,-0.36,598.00,586.00,592.00,"31,416","18,493,866.50"
39,2023/09/18,591.10,-0.32,592.00,585.00,592.00,"36,430","21,474,886.30"
40,2023/09/17,593.00,0.85,608.00,590.00,599.70,"72,674","43,158,916.20"
41,2023/09/13,588.00,0.68,590.00,581.00,581.00,"40,108","23,485,920.30"
42,2023/09/12,584.00,-0.8,599.00,583.00,598.00,"42,149","24,816,791.50"
43,2023/09/10,580.00,0.49,582.00,577.00,578.90,"51,489","29,857,994.80"
44,2023/09/07,577.20,-0.79,585.00,576.50,585.00,"51,168","29,566,230.50"
45,2023/09/05,581.80,-0.38,589.90,580.60,586.00,"27,803","16,202,031.40"
46,2023/09/04,584.00,0,587.00,575.30,584.00,"66,419","38,500,932.10"
47,2023/09/03,584.00,-0.56,590.00,583.00,587.30,"46,707","27,297,567.60"
48,2023/08/30,587.30,-0.46,596.00,586.20,596.00,"51,037","30,052,229.30"
49,2023/08/29,590.00,-0.02,596.00,588.10,592.10,"29,237","17,259,695.20"
50,2023/08/28,590.10,0.02,596.00,590.00,596.00,"25,988","15,380,695.00"
51,2023/08/24,592.50,-1.09,600.00,591.10,595.00,"43,106","25,686,071.70"
52,2023/08/23,599.00,0.84,599.90,592.10,594.00,"29,155","17,378,859.00"
53,2023/08/22,594.00,0.42,600.00,590.00,592.00,"41,686","24,674,639.40"
54,2023/08/21,591.50,-0.07,598.90,585.00,590.00,"40,222","23,765,668.00"
55,2023/08/20,591.90,-0.19,597.00,588.00,595.00,"58,801","34,751,380.90"
56,2023/08/17,593.00,0.17,602.70,592.00,602.50,"32,425","19,240,299.80"
57,2023/08/16,592.00,-1.17,600.00,590.00,599.00,"53,322","31,676,925.70"
58,2023/08/15,599.00,-0.63,601.00,596.60,601.00,"65,912","39,447,340.90"
59,2023/08/14,602.80,-0.12,605.00,591.50,591.50,"43,883","26,482,835.40"
60,2023/08/13,603.50,-0.49,610.00,600.00,608.00,"60,137","36,381,307.50"
61,2023/08/10,606.50,0.58,607.30,602.00,604.00,"47,833","28,957,552.00"
62,2023/08/09,603.00,0.5,604.00,594.00,604.00,"58,335","34,931,078.90"
63,2023/08/08,600.00,-1.64,614.00,600.00,610.00,"58,044","35,073,067.70"
64,2023/08/07,610.00,-0.33,614.90,602.00,612.00,"78,727","47,898,930.30"
65,2023/08/06,612.00,-0.16,637.70,607.00,625.20,"113,739","69,820,466.50"
66,2023/08/03,613.00,0,621.00,612.00,618.00,"44,414","27,412,266.20"
67,2023/08/02,613.00,0.31,620.00,609.00,619.90,"36,975","22,620,315.90"
68,2023/08/01,611.10,-0.63,621.00,611.00,620.00,"41,626","25,620,471.80"
69,2023/07/31,615.00,-0.16,623.00,605.00,605.00,"55,627","34,311,195.50"
70,2023/07/30,616.00,-0.32,623.90,614.00,623.00,"79,973","49,335,465.00"
71,2023/07/27,618.00,-0.88,628.00,616.00,625.00,"80,901","50,326,274.70"
72,2023/07/26,623.50,-0.02,629.50,618.00,629.00,"56,916","35,568,721.80"
73,2023/07/25,623.60,-2.41,640.00,621.00,640.00,"103,484","65,026,439.50"
74,2023/07/24,639.00,-1.54,653.00,636.00,650.00,"172,938","111,689,687.70"
75,2023/07/23,649.00,4.01,649.60,625.20,630.00,"147,953","94,121,522.80"
76,2023/07/20,624.00,1.17,628.90,620.00,620.00,"124,603","77,783,223.10"
77,2023/07/19,616.80,0.62,619.00,612.00,619.00,"76,090","46,874,578.90"
78,2023/07/18,613.00,0.33,621.60,610.00,620.90,"76,424","47,031,903.00"
79,2023/07/17,611.00,1.97,612.00,598.00,607.00,"73,868","44,868,342.90"
80,2023/07/16,599.20,1.56,605.90,590.00,595.00,"73,028","43,608,617.00"
81,2023/07/13,590.00,0.68,597.90,574.30,574.30,"66,352","39,318,126.20"
82,2023/07/12,586.00,0.51,589.90,585.00,585.00,"51,194","30,016,680.90"
83,2023/07/11,583.00,0,587.00,580.00,584.00,"88,236","51,402,666.70"
84,2023/07/10,583.00,0,593.00,581.00,593.00,"88,478","51,633,437.30"
85,2023/07/09,583.00,0.15,593.60,582.00,590.00,"79,385","46,393,314.10"
86,2023/07/06,582.10,-0.09,594.00,580.00,584.00,"61,889","36,123,009.40"
87,2023/07/05,582.60,-0.58,597.10,574.30,574.30,"70,629","41,335,410.70"
88,2023/07/04,586.00,0.19,590.00,584.00,585.10,"69,678","40,896,154.20"
89,2023/07/03,584.90,-1.53,594.00,584.00,594.00,"111,999","65,697,698.15"
90,2023/07/02,594.00,-1.98,615.00,591.00,615.00,"111,991","66,854,976.65"
91,2023/06/28,606.00,-0.48,633.00,605.00,620.00,"151,880","92,844,811.90"
92,2023/06/27,608.90,3.91,609.90,587.00,593.00,"184,325","110,660,786.10"
93,2023/06/26,586.00,-0.17,593.00,585.20,593.00,"125,517","73,753,126.20"
94,2023/06/25,587.00,-0.25,594.00,581.50,594.00,"123,731","72,516,379.78"
95,2023/06/22,588.50,-0.27,597.00,585.40,595.00,"57,079","33,592,097.20"
96,2023/06/21,590.10,-0.87,600.00,589.10,600.00,"74,080","43,876,597.30"
97,2023/06/20,595.30,0.22,603.00,595.00,599.00,"77,314","46,284,743.80"
98,2023/06/19,594.00,-0.34,605.20,593.10,598.00,"69,002","41,098,211.50"
